Wavelength [nm],Vz(lambda)
380,NaN
381,NaN
382,NaN
383,NaN
384,NaN
385,NaN
386,NaN
387,NaN
388,NaN
389,NaN
390,0.000957464
391,0.0011574217
392,0.0013989194
393,0.0016903349
394,0.0020416307
395,0.0024646186
396,0.0029733254
397,0.0035841486
398,0.0043163796
399,0.0051927964
400,0.0062396156
401,0.0074866078
402,0.0089649529
403,0.0107068292
404,0.0127449265
405,0.0151109099
406,0.0178350207
407,0.0209502428
408,0.0244883529
409,0.0284778919
410,0.0329440242
411,0.0379069664
412,0.0433978593
413,0.049451352
414,0.0561064431
415,0.0634054526
416,0.0713863034
417,0.0800374535
418,0.0893095614
419,0.0991233134
420,0.109358933
421,0.1199006027
422,0.1307632708
423,0.1420289102
424,0.1538311073
425,0.1663483337
426,0.1797672761
427,0.1940493915
428,0.2090718209
429,0.2246636999
430,0.2405844823
431,0.2566215946
432,0.2727995798
433,0.289250126
434,0.3061523723
435,0.3237361066
436,0.3421997315
437,0.3613758348
438,0.3809567536
439,0.4005768621
440,0.4197941698
441,0.4382221097
442,0.455991453
443,0.4734357403
444,0.4909133654
445,0.5089039928
446,0.5277665803
447,0.5472816541
448,0.5670233122
449,0.5865027849
450,0.6051688406
451,0.6225705477
452,0.6387991912
453,0.654142198
454,0.6689139264
455,0.6834972833
456,0.6982002724
457,0.7130632182
458,0.7280461787
459,0.7431400809
460,0.7582828273
461,0.7734252476
462,0.7883694076
463,0.8029214563
464,0.8168563865
465,0.829898594
466,0.8419149345
467,0.8530850023
468,0.8636826653
469,0.8740587837
470,0.8845007486
471,0.8952685269
472,0.9062170814
473,0.9170881738
474,0.9276108436
475,0.9375236147
476,0.9465987872
477,0.9548222142
478,0.9622708043
479,0.9690263505
480,0.9751523991
481,0.9807155831
482,0.9856944137
483,0.9900224451
484,0.993610444
485,0.9964153622
486,0.9983955143
487,0.9995799781
488,1
489,0.9997118082
490,0.9987273082
491,0.9971059478
492,0.9947709027
493,0.9916706533
494,0.9877336687
495,0.9829146827
496,0.9771497087
497,0.9705360493
498,0.9631051447
499,0.9550005662
500,0.9462766674
501,0.9370098498
502,0.9272117357
503,0.9168745471
504,0.9060140236
505,0.8946063586
506,0.8826721511
507,0.8702335923
508,0.8572748589
509,0.8438616459
510,0.8300010578
511,0.8157025259
512,0.8009408514
513,0.7856958041
514,0.7699345029
515,0.7536654458
516,0.7368839382
517,0.7196734402
518,0.7021307685
519,0.6843793629
520,0.666503367
521,0.6485663593
522,0.6306132412
523,0.6126721932
524,0.5947566624
525,0.5768806407
526,0.5590843472
527,0.5413552963
528,0.5236967034
529,0.5061137209
530,0.4886246197
531,0.4712261608
532,0.4540020497
533,0.4369863603
534,0.4202489103
535,0.4038412681
536,0.387790072
537,0.3720924476
538,0.356729739
539,0.3417024086
540,0.3269963461
541,0.312607733
542,0.2985481017
543,0.284834486
544,0.271475398
545,0.2584783728
546,0.245855642
547,0.2336173531
548,0.2217665584
549,0.2103054713
550,0.1992400572
551,0.1885701234
552,0.1782864897
553,0.1683771469
554,0.1588391559
555,0.1496625025
556,0.1408450273
557,0.1323932968
558,0.1243168907
559,0.1166214606
560,0.109309113
561,0.1023740786
562,0.0958023971
563,0.0895763279
564,0.0836833721
565,0.0781076137
566,0.0728359454
567,0.0678589107
568,0.0631681038
569,0.0587516741
570,0.0546029577
571,0.0507093524
572,0.0470596529
573,0.043643662
574,0.0404500172
575,0.0374674984
576,0.0346858727
577,0.0320926815
578,0.0296762024
579,0.0274254015
580,0.0253304735
581,0.0233820398
582,0.0215716414
583,0.0198919973
584,0.0183358239
585,0.0168959044
586,0.0155647901
587,0.01433499
588,0.0132000317
589,0.0121525327
590,0.0111869908
591,0.0102970891
592,0.0094761087
593,0.0087188509
594,0.0080193843
595,0.0073733337
596,0.0067765086
597,0.0062260861
598,0.0057196401
599,0.005254408
600,0.0048277763
601,0.0044370581
602,0.0040788129
603,0.0037498933
604,0.0034476719
605,0.0031694945
606,0.0029133723
607,0.0026776788
608,0.0024610579
609,0.0022620912
610,0.0020794917
611,0.0019120387
612,0.001758377
613,0.0016172841
614,0.0014876565
615,0.0013684339
616,0.0012587586
617,0.0011579265
618,0.001065226
619,0.0009800245
620,0.0009017963
621,0.0008299621
622,0.0007640082
623,0.0007034762
624,0.0006479238
625,0.0005969568
626,0.0005501836
627,0.0005072469
628,0.0004677774
629,0.0004314874
630,0.000398086
631,0.0003673302
632,0.0003390065
633,0.0003129332
634,0.0002889404
635,0.0002668569
636,0.0002465373
637,0.0002278145
638,0.0002105499
639,0.0001946005
640,0.0001798575
641,0.0001662184
642,0.0001536086
643,0.0001419609
644,0.0001312104
645,0.0001212982
646,0.0001121623
647,0.0001037449
648,9.59893708888965E-05
649,8.8843667059412E-05
650,8.22615057967186E-05
651,7.61962592473874E-05
652,7.06004403548517E-05
653,6.5434661309661E-05
654,6.065755563377E-05
655,5.62365200976223E-05
656,5.21420777412236E-05
657,4.83486603213187E-05
658,4.48339102381008E-05
659,4.15790614216236E-05
660,3.85645663747589E-05
661,NaN
662,NaN
663,NaN
664,NaN
665,NaN
666,NaN
667,NaN
668,NaN
669,NaN
670,NaN
671,NaN
672,NaN
673,NaN
674,NaN
675,NaN
676,NaN
677,NaN
678,NaN
679,NaN
680,NaN
681,NaN
682,NaN
683,NaN
684,NaN
685,NaN
686,NaN
687,NaN
688,NaN
689,NaN
690,NaN
691,NaN
692,NaN
693,NaN
694,NaN
695,NaN
696,NaN
697,NaN
698,NaN
699,NaN
700,NaN
701,NaN
702,NaN
703,NaN
704,NaN
705,NaN
706,NaN
707,NaN
708,NaN
709,NaN
710,NaN
711,NaN
712,NaN
713,NaN
714,NaN
715,NaN
716,NaN
717,NaN
718,NaN
719,NaN
720,NaN
721,NaN
722,NaN
723,NaN
724,NaN
725,NaN
726,NaN
727,NaN
728,NaN
729,NaN
730,NaN
731,NaN
732,NaN
733,NaN
734,NaN
735,NaN
736,NaN
737,NaN
738,NaN
739,NaN
740,NaN
741,NaN
742,NaN
743,NaN
744,NaN
745,NaN
746,NaN
747,NaN
748,NaN
749,NaN
750,NaN
751,NaN
752,NaN
753,NaN
754,NaN
755,NaN
756,NaN
757,NaN
758,NaN
759,NaN
760,NaN
761,NaN
762,NaN
763,NaN
764,NaN
765,NaN
766,NaN
767,NaN
768,NaN
769,NaN
770,NaN
771,NaN
772,NaN
773,NaN
774,NaN
775,NaN
776,NaN
777,NaN
778,NaN
779,NaN
780,NaN
